timestamp,queue_depth,worker_replicas
2026-07-17T10:04:43Z,0,0
2026-07-17T10:04:48Z,0,0
2026-07-17T10:04:54Z,0,0
2026-07-17T10:04:59Z,0,0
2026-07-17T10:05:04Z,20,0
2026-07-17T10:05:10Z,20,1
2026-07-17T10:05:15Z,20,4
2026-07-17T10:05:21Z,20,4
2026-07-17T10:05:26Z,20,4
2026-07-17T10:05:31Z,20,4
2026-07-17T10:05:37Z,20,4
2026-07-17T10:05:42Z,20,4
2026-07-17T10:05:48Z,20,4
2026-07-17T10:05:53Z,4,4
2026-07-17T10:05:59Z,4,4
2026-07-17T10:06:04Z,4,4
2026-07-17T10:06:09Z,4,4
2026-07-17T10:06:15Z,4,4
2026-07-17T10:06:20Z,0,4
2026-07-17T10:06:26Z,0,4
2026-07-17T10:06:31Z,0,4
2026-07-17T10:06:37Z,0,4
2026-07-17T10:06:42Z,0,4
2026-07-17T10:06:47Z,0,4
2026-07-17T10:06:53Z,0,4
2026-07-17T10:06:58Z,0,4
2026-07-17T10:07:04Z,0,4
2026-07-17T10:07:09Z,0,4
2026-07-17T10:07:15Z,0,4
2026-07-17T10:07:20Z,0,0
2026-07-17T10:07:25Z,0,0
2026-07-17T10:07:31Z,0,0
